alpha,C_p_bet_hedging,C_p_switching_25percentile,C_p_switching_50percentile,C_p_switching_75percentile,Fungus_bet_hedging,F1_switching_25percentile,F1_switching_50percentile,F1_switching_75percentile,F2_switching_25percentile,F2_switching_50percentile,F2_switching_75percentile
0,17.1605733961612,9.58320557457286e-08,4.72816413045248e-07,1.38941688318018e-06,0.604367535372499,2.71241193999274e-08,1.06742135779257e-07,4.20056793377029e-07,3.56774656506689e-10,1.40402997932623e-09,5.52530211915438e-09
0.02,17.1605733961612,1.29366292205766e-07,8.21070701666784e-07,3.34732688310356e-06,0.604367535372499,5.0496288651154e-08,1.98715400411546e-07,7.81946821878429e-07,4.82735561216221e-10,1.89971699674622e-09,7.4758258318249e-09
0.04,17.1605733961612,5.0624966238267e-07,2.54279441146076e-06,1.08743266046089e-05,0.604367535372499,2.45297845438914e-07,9.65164572059158e-07,3.79615188891841e-06,1.01823869083516e-09,4.00689311807017e-09,1.57653280639787e-08
0.06,17.1605733961612,9.47634285273811e-07,6.2055674849901e-06,2.99853520822189e-05,0.604367535372499,8.35657194870689e-07,3.28668362378802e-06,1.29125372459387e-05,2.03231282369593e-09,7.99630630138947e-09,3.14481998087325e-08
0.08,17.1605733961612,3.85620181144739e-06,2.56617299614929e-05,0.000203499001139677,0.604367535372499,4.27100912118602e-06,1.67440487489953e-05,6.51885444408196e-05,5.42776518282164e-09,2.13330747116606e-08,8.35970268908944e-08
0.1,17.1605733961612,2.79192373640793e-05,0.000176273980871254,0.00205705821740462,0.604367535372499,3.42871696295685e-05,0.00013159684281199,0.000488234054040143,2.12674413761967e-08,8.29996256877769e-08,3.18795919941895e-07
0.12,17.1605733961612,0.000178715016702427,0.00101066015758023,0.0287451808607009,0.604367535372499,0.000435800358377096,0.00142277352681566,0.00420408117106026,1.230083453766e-07,4.54863797621468e-07,1.58125589106847e-06
0.14,17.1605733961612,0.00123356850523446,0.00553603034418634,0.282400904180168,0.604367535372499,0.00634838943162592,0.0109606832008595,0.0212801377233384,1.01453578411284e-06,3.02609194629386e-06,8.90919623299774e-06
0.16,17.1605733961612,0.00910071641391992,0.0313830246146753,1.05132776049746,0.604367535372499,0.0343845953985365,0.044617085435502,0.0557783160210276,1.05365652367587e-05,2.6273622204396e-05,7.13298829871076e-05
0.18,17.1605733961612,0.074556480346314,0.192637392714217,2.3248283678642,0.604367535372499,0.0815173582687902,0.103184785035158,0.128789243825789,0.000127238933051036,0.000302191538617656,0.000614843010101915
