alpha,C_p_bet_hedging,C_p_switching_25percentile,C_p_switching_50percentile,C_p_switching_75percentile,Fungus_bet_hedging,F1_switching_25percentile,F1_switching_50percentile,F1_switching_75percentile,F2_switching_25percentile,F2_switching_50percentile,F2_switching_75percentile
0,17.1605733961612,18.5612512995428,18.5613819255053,18.5615080855896,0.604367535372499,1.11450184978257e-11,4.79123154796969e-11,2.05974532486645e-10,1.29021828257676,1.29021829115285,1.29021829945211
0.02,17.1605733961612,18.5157875299485,18.551054394576,18.5552056300454,0.604367535372499,2.98430954025178e-11,1.2822585006644e-10,5.09536859641115e-10,1.27711613625783,1.2817628566855,1.28500772148422
0.04,17.1605733961612,18.4011306807333,18.5284395811032,18.5429266010605,0.604367535372499,1.78415266389709e-10,7.44589593604343e-10,2.5324356357549e-09,1.24999691111148,1.26417502041547,1.27476242732518
0.06,17.1605733961612,18.2282261334769,18.4987155412676,18.5263323434002,0.604367535372499,2.04526701489104e-09,7.56206569939616e-09,2.18354743839834e-08,1.21611053328313,1.24217115668822,1.26146354087726
0.08,17.1605733961612,17.9872072269129,18.4629602833356,18.5069670392541,0.604367535372499,3.60709455669699e-08,1.0418479245567e-07,2.73426075334544e-07,1.17836703758858,1.2173572082968,1.24618995017688
0.1,17.1605733961612,17.6623455946129,18.42028099651,18.4848456940931,0.604367535372499,8.31555006626241e-07,1.83826094295308e-06,4.11020322300446e-06,1.13740378670724,1.19097317003208,1.22958197562304
0.12,17.1605733961612,17.2487327290297,18.3723936892029,18.4611271469427,0.604367535372499,2.08058586682419e-05,3.49409292604401e-05,6.09624347273894e-05,1.0950908261291,1.16374419491508,1.21225365754249
0.14,17.1605733961612,16.731224888898,18.3165087400597,18.4339276546173,0.604367535372499,0.000431059992022959,0.000634882860087129,0.000899103322453731,1.05478220411201,1.13548613176233,1.19353983657159
0.16,17.1605733961612,16.2027052326987,18.265671395474,18.4105969175383,0.604367535372499,0.00572699966951791,0.00784621955340009,0.0113721925484974,1.0219453638319,1.11131383171892,1.17790227331538
0.18,17.1605733961612,16.1627465001486,18.2288798922133,18.3901895645629,0.604367535372499,0.0295188713167962,0.0429867452490705,0.0648225971775817,0.996689294041097,1.09261193664582,1.16431161972805
0.2,17.1605733961612,16.2741014882541,18.1699478558614,18.3577822987797,0.604367535372499,0.0626783736741872,0.0933262024256264,0.139920040006775,0.958851225396008,1.06428225033952,1.14403707432149
0.22,17.1605733961612,16.1971390555855,18.093652136261,18.3157824589788,0.604367535372499,0.0939890558646771,0.139266732028537,0.20636938120951,0.914653316299657,1.03080054531294,1.11881292290649
0.24,17.1605733961612,16.0981210964372,18.0122717840361,18.2749710465102,0.604367535372499,0.119235737726065,0.176005652589851,0.258769152101859,0.875996497462491,0.999784344392646,1.09678374495839
