leakiness,Panel1_Cp_1yr,Panel1_Cp_2yr,Panel1_Cp_4yr,Panel1_Cp_6yr,Panel2_Cp_1yr,Panel2_Cp_2yr,Panel2_Cp_4yr,Panel2_Cp_6yr
17.125007042557,17.0417618917648,16.7146713870016,16.3252024859508,17.2499274214316,17.2726413668698,17.3604594699845,17.4600933861542,NaN
17.1212992309096,17.0236356349094,16.614292554769,15.9898933279945,17.2396895446877,17.2291496778943,17.1831267807158,17.1012994579681,NaN
17.1188981992259,17.0107302534473,16.5298777733916,15.6461884759101,17.2310884245615,17.1924236875955,17.0192462261486,16.6668134223235,NaN
17.1182509034965,17.0014426791915,16.4672758278786,15.3544498460916,17.2243991576361,17.1658552573276,16.8819790202434,16.242271141116,NaN
17.1173050484017,16.9975126803932,16.4312641710831,15.1541126000262,17.2195721944788,17.1453714952916,16.7795870883573,15.9079666060239,NaN
17.1185231871748,16.9975755583261,16.4199920196631,15.0685864325518,17.2165033167239,17.1313382554422,16.713100555845,15.6979240799785,NaN
17.1207643539459,17.001424876679,16.4323371430348,15.0892610275638,17.214062013573,17.1252662025773,16.6801673831897,15.608876762416,NaN
17.1227542936089,17.0077301365626,16.4669281343505,15.19539122393,17.2132200571953,17.1228934713181,16.6762933483315,15.6202219584967,NaN
17.1253900934165,17.0175903032636,16.5161225987721,15.3639340276487,17.2135320216089,17.1241443516966,16.6958360353205,15.7061955817044,NaN
17.1295292646528,17.0318386322898,16.5770022530961,15.5689226240352,17.2145934573819,17.1301358910731,16.7329847542245,15.8447154260881,NaN
17.1326541830552,17.0455870990308,16.6480175471747,15.7882149276284,17.2158541044044,17.1409795106244,16.7832833140882,16.0139929811043,NaN
17.1363764797529,17.0608913544968,16.7215223000935,16.013695283554,17.21912388193,17.1506800679747,16.841712993716,16.1988511540765,NaN
17.1409415705752,17.077895745911,16.7968315492524,16.2337703609761,17.2214955228743,17.163629020607,16.9045658753442,16.3858550337915,NaN
17.1440897359879,17.0930476045599,16.8701067972735,16.4379931742718,17.2246130557747,17.17703944813,16.9692279532209,16.5670496042608,NaN
17.1482756916632,17.1090039667435,16.9397853880205,16.6228411425386,17.227428950827,17.1902231887036,17.0317770132103,16.7338597858766,NaN
17.1516017765298,17.1235497060603,17.0034592600062,16.7851089779784,17.2302617409878,17.2036915002742,17.0901773524785,16.8828844557945,NaN
17.1548307437221,17.1362953624844,17.0586829461573,16.9207997436228,17.2331091837418,17.2155401567299,17.1416935632556,17.0107773161108,NaN
17.15694038405,17.1470313152523,17.1040907492232,17.0291027508582,17.2354558066685,17.2253869968377,17.1844573623978,17.1129703476383,NaN
17.1588924491029,17.1548647313349,17.1374743510951,17.1070620516714,17.2373240006924,17.2330560261647,17.2163942253258,17.1874490003179,NaN
17.1603558159517,17.1597305149094,17.1569552025817,17.1524404891237,17.2382783622838,17.2377906164584,17.2351690923113,17.230694905822,NaN
17.1605746194751,17.1605734015096,17.1605733591757,17.1605732953569,17.2385314009058,17.2385313556109,17.238531586383,17.2385316645544,NaN
17.1597906294036,17.1572099977609,17.145818202622,17.1271503818952,17.2375566597354,17.2347487232139,17.2239388919996,17.2056845776174,NaN
17.1579402468489,17.1485452110582,17.1100052550546,17.045011632465,17.2357161450699,17.2263712088446,17.1885203862644,17.1248913000057,NaN
17.1543817017203,17.134508509633,17.0498717762546,16.9055492245526,17.2321986736353,17.2122600849556,17.1291255202171,16.9873905127465,NaN
17.1498104675371,17.1135814432007,16.9619637486396,16.6964243467812,17.227691960478,17.1906394382419,17.0418763577249,16.7817249474763,NaN
17.1437592744388,17.0862456145056,16.8417909222878,16.4043946834885,17.2210393105753,17.1627634220163,16.9228730829096,16.4935305717741,NaN
17.1355270471752,17.0502232660621,16.6845329228913,16.0115047753445,17.2127276848973,17.1273258113356,16.7670667826057,16.1063581550212,NaN
17.1255341096665,17.0058082468713,16.4846440595915,15.4967034309978,17.2020053479492,17.0836553831697,16.5684716900762,15.59859244908,NaN
17.1140526321451,16.9523411903765,16.235892114295,14.8361780519814,17.1891832730913,17.0288034788152,16.3220180070853,14.9491432660803,NaN
17.099368041377,16.8886225383296,15.9317757798715,13.9992488503106,17.1736197288355,16.9638480257674,16.0197722949126,14.1275885658093,NaN
17.082510182048,16.8133725706649,15.5636473569491,12.9520577848468,17.1566115542783,16.8875026093829,15.6544577399663,13.1042998068427,NaN
17.0641632091918,16.7253328116329,15.122996163233,11.6501932491164,17.1365576476375,16.7986664155899,15.2174269044871,11.8422206990856,NaN
17.0420609882812,16.6242942862235,14.6007710139647,10.0323821753739,17.11257110028,16.6961489017843,14.6992732882781,10.2960565952256,NaN
17.0171833322297,16.5083179660735,13.9856747299998,8.00492131996524,17.0871547123674,16.5789937389912,14.089692740165,8.41022091975275,NaN
16.9896340796057,16.3765129470902,13.2666877638179,5.35765376157794,17.0581983977966,16.4448690504642,13.3778544889815,6.11071452038956,NaN
16.9585356449499,16.227220865856,12.4326338319926,1.78217763422563e-09,17.0242967751136,16.2946412174321,12.5532518333368,3.23120557394728,NaN
16.9243544141766,16.060327367317,11.4706989893136,-1.10051193983791e-11,16.9876778997909,16.1255461801341,11.6033006688771,-1.05202064482437e-09,NaN
16.8854852500108,15.8741357509311,10.3685589931148,2.54623197788631e-09,16.9467571121239,15.9365088395391,10.5161538113468,1.62821073544542e-11,NaN
16.8430535502822,15.6659630699793,9.1149212229217,1.97872563294072e-09,16.9026978545318,15.7265037415464,9.28188289723862,-1.5913864800885e-09,NaN
16.7973472745571,15.4368791553,7.70049429837041,3.25671432595375e-10,16.8528903736539,15.4936213265123,7.89253198582922,1.36821166525978e-09,NaN
16.7468678685749,15.1834512961433,6.11902713185554,1.42055605247442e-09,16.7986623105798,15.2362645333298,6.34666442280131,-4.0961894007113e-10,NaN
