alpha,C_p_bet_hedging,C_p_switching_25percentile,C_p_switching_50percentile,C_p_switching_75percentile,Fungus_bet_hedging,F1_switching_25percentile,F1_switching_50percentile,F1_switching_75percentile,F2_switching_25percentile,F2_switching_50percentile,F2_switching_75percentile
0,17.1605733961612,18.5529283892126,18.5530578676453,18.5531998163734,0.604367535372499,8.56136331936708e-08,2.19742270376702e-07,5.64006717799866e-07,1.28222625559407,1.28222657702462,1.28222670021049
0.02,17.1605733961612,18.5059917497952,18.5423603107663,18.5468443200344,0.604367535372499,1.60766870347174e-07,4.11301932056852e-07,1.00588435234795e-06,1.26885848484406,1.27349239423438,1.27704031488069
0.04,17.1605733961612,18.4048734901095,18.5214349593775,18.5346988433199,0.604367535372499,3.59660920526984e-07,9.14191099921683e-07,2.09981121424235e-06,1.24476517429852,1.25734425927903,1.26700510749004
0.06,17.1605733961612,18.2175596605876,18.4886294018416,18.5169450061159,0.604367535372499,9.1442724789753e-07,2.24141622763903e-06,4.77032174257908e-06,1.21180869832714,1.23428010783149,1.25304251661605
0.08,17.1605733961612,17.9834290961052,18.451225246538,18.4958085766844,0.604367535372499,2.15805646965785e-06,5.13852775079753e-06,1.02362845441173e-05,1.17871009664137,1.21088698936017,1.23703332320824
0.1,17.1605733961612,17.650003688915,18.405892498555,18.4738536825746,0.604367535372499,4.83389539398951e-06,1.07811861354937e-05,2.08256615827841e-05,1.14325721584003,1.18651037299198,1.22098448854034
0.12,17.1605733961612,17.2616190423249,18.3595629934004,18.4492802303824,0.604367535372499,9.78110909102067e-06,2.07571602018026e-05,3.91941710517073e-05,1.10960895954059,1.16402706513194,1.20422319890007
0.14,17.1605733961612,16.731187727742,18.2991674301155,18.4196638098002,0.604367535372499,1.91815246779053e-05,3.88330219701759e-05,7.17038027228594e-05,1.0717702961598,1.13853260378356,1.18563076150633
0.16,17.1605733961612,16.0277433214914,18.2328622927996,18.3898390249691,0.604367535372499,3.42235820583586e-05,6.66593713193274e-05,0.000120803280780796,1.03576274115113,1.11395838409374,1.16776377344293
0.18,17.1605733961612,15.2282577863286,18.1571891124779,18.3570230585729,0.604367535372499,5.98207397573094e-05,0.000112694420832075,0.000200793912896111,1.00096814671264,1.08903823856196,1.14971806735409
0.2,17.1605733961612,14.2269334885561,18.0692859850793,18.3215221083263,0.604367535372499,0.000104593920163801,0.00019141926487734,0.000335911317893595,0.967161577491999,1.06417219857781,1.13145978078057
0.22,17.1605733961612,13.0948906507957,17.9612301666873,18.2825394555581,0.604367535372499,0.000181244417673,0.00032364335610866,0.000557906023940375,0.933337636054138,1.03785550243511,1.11253551924793
0.24,17.1605733961612,11.7657454859054,17.8451538969359,18.2390106971992,0.604367535372499,0.000324882336051808,0.000568573979720892,0.000964425713113533,0.900133670038141,1.01194461084414,1.09352014305495
0.26,17.1605733961612,10.4340238961744,17.7089139767588,18.1952295728222,0.604367535372499,0.000632067254963794,0.00108472987908465,0.001808187996266,0.870880897105226,0.987783954401362,1.07555698919157
0.28,17.1605733961612,9.0050916909988,17.5480389061909,18.1542900796904,0.604367535372499,0.00131416299834728,0.00220194926349778,0.00360490614272084,0.842800036719612,0.964426479808541,1.05944996449836
0.3,17.1605733961612,7.90976799765012,17.3925877427213,18.1293404351546,0.604367535372499,0.00337866108752819,0.00546189943286317,0.00871318189856279,0.82542686410008,0.947637606716146,1.04880530118994
0.32,17.1605733961612,7.5616060141942,17.316369792073,18.1367320800024,0.604367535372499,0.0102740913692022,0.0154456476140283,0.02213272180756,0.833914068409095,0.952304607007386,1.05031095055349
0.34,17.1605733961612,9.06373463390322,17.4075442253195,18.1749694417758,0.604367535372499,0.0390839166337209,0.0490145344090034,0.0587555735255104,0.876006253084887,0.974089697739085,1.0601205280798
0.36,17.1605733961612,11.7349428526634,17.5525964775888,18.1701042263918,0.604367535372499,0.0984351937379886,0.113280837332116,0.129445749771207,0.896402425004783,0.97909495836231,1.04901166166516
0.38,17.1605733961612,13.7808515161387,17.5469535193478,18.1044539331109,0.604367535372499,0.166133034091924,0.194415643712673,0.226196282207952,0.868571260645177,0.944907291648001,1.01172163744456
0.4,17.1605733961612,15.0135235822529,17.4502340417805,17.9979475693684,0.604367535372499,0.232219919536566,0.2735310807388,0.319942208822305,0.816239055416604,0.89234627216262,0.962002001355333
0.42,17.1605733961612,15.7578561863958,17.3391575889378,17.870001241791,0.604367535372499,0.29517563957989,0.346728331810336,0.402698666738129,0.759829642339945,0.836412339391706,0.908345284810577
0.44,17.1605733961612,16.2458113653259,17.2082540852555,17.7231686784666,0.604367535372499,0.353410980957656,0.412687445338519,0.47664250189916,0.702163176484438,0.779374105734889,0.854882334130666
0.46,17.1605733961612,16.6364821861929,17.1083619796623,17.5342556076982,0.604367535372499,0.416407778548072,0.482501896874647,0.550076472409131,0.64202711162969,0.71702739587185,0.793633335880346
0.48,17.1605733961612,16.9055630857344,17.1223406423067,17.3482416289952,0.604367535372499,0.471974197281861,0.542139002275792,0.615004972277414,0.584928756909386,0.659833586465555,0.736913326453909
0.5,17.1605733961612,16.892425665728,17.1201481337657,17.3567119762232,0.604367535372499,0.531248621386549,0.605137586239561,0.680877996065309,0.524735084713954,0.597816845486046,0.67423512066936
0.52,17.1605733961612,16.8791745358723,17.1198372818702,17.3590779337859,0.604367535372499,0.589832160888611,0.66526020478604,0.742549843441562,0.466523285689326,0.536504593034902,0.609853712077334
