time,Panel_1_C_p,Panel_1_F1,Panel_1_F2,Panel_2_C_p,Panel_2_F1,Panel_2_F2,Panel_3_C_p,Panel_3_F1,Panel_3_F2
1460,0.149847865786647,0.661019618701011,0.000427976933559031,13.969157888001,1.13535064164346,0.000405078083342663,16.5893781389584,1.21037559101831,0.000402192892660403
1461,0.406544087262341,0.657570881668571,0.000425772115944434,14.0543416437434,1.13458779333853,0.000402943318363273,16.6035675499345,1.21019301631959,0.000400065800335843
1462,0.960287309686357,0.654187674345677,0.000423579019711641,14.2074715939933,1.13385176700278,0.000400819879375169,16.6360899576343,1.21001535549811,0.000397949976017902
1463,1.63134270349579,0.650938987713152,0.000421397570216249,14.3784326865514,1.13316496617356,0.000398707702014418,16.6758640389661,1.20984891981547,0.000395845359164585
1464,2.33698380045539,0.64788367798952,0.000419227686519038,14.5504644179183,1.13254090548168,0.000396606720543661,16.7170051638407,1.20969637415772,0.000393751889003053
1465,3.03984348486525,0.645061282534409,0.000417069283240337,14.717243826723,1.13198498476175,0.00039451686878391,16.7577537071319,1.2095601097287,0.000391669504938868
1466,3.72286736658366,0.642493909943459,0.000414922272672047,14.8772643623974,1.13149788272885,0.000392438080699146,16.7971866057008,1.20944054029647,0.000389598146571451
1467,4.37924684463208,0.640191114355956,0.000412786566380467,15.0297645044131,1.13107812913356,0.000390370290814807,16.8351696420099,1.20933744957739,0.000387537753828446
1468,5.00662098580357,0.638153670905339,0.000410662076283792,15.1751213901257,1.1307228856005,0.000388313434263922,16.8711775118221,1.20925026996352,0.000385488267052524
1469,5.60459481102555,0.636377319354209,0.000408548715464895,15.3132086094742,1.13042947367521,0.00038626744698154,16.9056114479547,1.20917845028961,0.000383449626961571
1470,6.17372560779866,0.634854479717594,0.000406446398497697,15.4447191280514,1.13019449808186,0.00038423226554956,16.9384839514723,1.20912119494372,0.000381421774682156
1471,6.71538402257199,0.63357508262662,0.000404355041522375,15.5698420813304,1.13001497494969,0.000382207827319559,16.9695241428591,1.20907707799407,0.000379404651698631
1472,7.23029691647834,0.6325301127659,0.000402274562919458,15.6884935947118,1.12988790675486,0.000380194070337163,16.9990515822739,1.20904601098725,0.000377398199998645
1473,7.71999325116031,0.631708036467721,0.000400204882489121,15.8015402954969,1.1298107473805,0.000378190933352327,17.027355417525,1.20902856636417,0.000375402362028601
1474,8.18582267969408,0.63109740658939,0.000398145921889593,15.9094898865916,1.12978101082388,0.000376198355768727,17.0543963565561,1.20902339220183,0.000373417080444255
1475,8.62872442073677,0.630689124094163,0.000396097604966465,16.0120355858179,1.1297955902525,0.000374216277563618,17.0798632114251,1.20902725202777,0.000371442298112027
1476,9.04979187983193,0.630473578464243,0.000394059857124609,16.1089477650849,1.12985134452929,0.000372244639317644,17.1039946786878,1.20904035992463,0.000369477958579824
1477,9.45034055711861,0.630439430780644,0.000392032605132273,16.2015708123006,1.12994775784098,0.000370283382420481,17.1271193330761,1.20906658538698,0.000367524006102388
1478,9.83144780676294,0.630576859239458,0.000390015777511457,16.2900664571496,1.13008251880026,0.000368332448674638,17.1491778715645,1.20910299723108,0.000365580384665717
1479,10.193963099825,0.630877745287465,0.000388009304517058,16.373554214745,1.1302510340397,0.000366391780231361,17.1699933336941,1.2091431561822,0.000363647038287922
1480,10.538547782228,0.631334577568187,0.00038601311788736,16.4531438066346,1.1304535325577,0.000364461320198601,17.1898352642637,1.20919338260006,0.000361723912516628
1481,10.8662803590611,0.631938082188677,0.000384027150430486,16.5293742058534,1.13068908745,0.000362541012098184,17.2087983538729,1.20925597463434,0.000359810952869494
1482,11.1783681926215,0.632680216198339,0.000382051336519639,16.6013894283916,1.13095288682742,0.000360630799605704,17.2268002871111,1.20932269916073,0.000357908104232887
1483,11.4756811999301,0.633553454692664,0.000380085611735414,16.6697035911432,1.13124420117072,0.000358730627247076,17.2438792418925,1.20939175409625,0.000356015312425349
1484,11.7587461077241,0.634550741192022,0.000378129912851885,16.7353967361798,1.13156429721823,0.000356840440198004,17.2601760597499,1.20947337595799,0.000354132524691409
1485,12.0277549118318,0.635665461298519,0.0003761841778316,16.7978852864816,1.13190923181996,0.000354960183629352,17.2757133414585,1.2095647715745,0.000352259687411256
1486,12.2833819978664,0.636890731429052,0.000374248345679114,16.8564015003329,1.1322744877223,0.000353089803111523,17.2904519340695,1.20965323325474,0.000350396746390158
1487,12.5270305658955,0.638221069804155,0.000372322356669435,16.9127255916329,1.13266415553126,0.000351229245405568,17.3044816586635,1.20974804020169,0.000348543649744635
1488,12.7594860026293,0.639650959892511,0.000370406152008844,16.9670737585361,1.13307718924879,0.000349378457244261,17.3178589911925,1.20985533997044,0.000346700345612046
1489,12.9808436593263,0.641174041758034,0.000368499673677441,17.0177309739479,1.1335059806839,0.000347537385205198,17.3305840432247,1.20996369914217,0.000344866780867523
1490,13.1910293005431,0.642783855214098,0.000366602864526078,17.0658212074275,1.13395278455153,0.000345705977125345,17.3426864064648,1.21007195248016,0.000343042903615035
1491,13.3912894711859,0.644476575864695,0.000364715668677444,17.1126479260307,1.13442062952922,0.00034388418129742,17.3542174295435,1.21019014009683,0.000341228663249996
1492,13.5824936320761,0.646248244000521,0.000362838031046915,17.1567380641879,1.13490284803182,0.000342071945568922,17.3651972076533,1.21031272354604,0.000339424008090195
1493,13.7648855254055,0.648093824202611,0.000360969897131132,17.1981276538223,1.13539816085227,0.000340269218625218,17.3756446977093,1.21043379193895,0.000337628886721748
