alpha,Panel_1_Bet_hedging,Panel_1_F1_preference_25percentile,Panel_1_F1_preference_50percentile,Panel_1_F1_preference_75percentile,Panel_1_F2_preference_25percentile,Panel_1_F2_preference_50percentile,Panel_1_F2_preference_75percentile,Panel_2_Bet_hedging,Panel_2_F1_preference_25percentile,Panel_2_F1_preference_50percentile,Panel_2_F1_preference_75percentile,Panel_2_F2_preference_25percentile,Panel_2_F2_preference_50percentile,Panel_2_F2_preference_75percentile,Panel_3_Bet_hedging,Panel_3_F1_preference_25percentile,Panel_3_F1_preference_50percentile,Panel_3_F1_preference_75percentile,Panel_3_F2_preference_25percentile,Panel_3_F2_preference_50percentile,Panel_3_F2_preference_75percentile
0,17.2385318597556,-1.04385324944371e-07,9.65214522315548e-08,3.40362534918442e-07,18.5796044370652,18.5797307599434,18.5798499491259,17.2385318597556,13.1103771557888,13.1103776624593,13.1103787185236,18.2278677442457,18.2280211997934,18.2281765876793,17.2385318597556,16.48945183034,16.4894521368349,16.4894524188616,17.6448020272827,17.6448026848606,17.6448033319339
0.02,17.2385318597556,-1.40724861112297e-07,7.90801807265211e-08,3.42921359936393e-07,18.5329663612492,18.5693262133333,18.5740148791033,17.2385318597556,13.1536672085919,13.1720203084039,13.2206177347642,18.2054354061716,18.2220597444365,18.2246988339158,17.2385318597556,16.4924572335255,16.4943270344521,16.501964157973,17.6373387011349,17.6424706584658,17.6434288782306
0.04,17.2385318597556,-2.59759865542143e-08,2.84815073753922e-07,1.1010348606796e-06,18.4305784143523,18.549228904831,18.5621818997197,17.2385318597556,13.1864757874779,13.2189728909294,13.3129483161297,18.1658873968171,18.2132064702628,18.2197600221167,17.2385318597556,16.4951197069262,16.4986058211696,16.5141926759446,17.626696469235,17.6395683110261,17.6416731650063
0.06,17.2385318597556,1.59752367148745e-07,8.27061038960371e-07,2.1600425279235e-05,18.2464679074489,18.517936406057,18.5454528261345,17.2385318597556,13.2196785323228,13.2652694749796,13.4121513016634,18.126400812532,18.2062234306447,18.2153916882663,17.2385318597556,16.4980109277438,16.503359927438,16.5302646519183,17.6130150089295,17.6365564238572,17.6398923167721
0.08,17.2385318597556,4.0281337308101e-07,5.7730532073691e-06,0.000385468956834683,18.016860132337,18.4852102788755,18.5279090783975,17.2385318597556,13.2519477069473,13.3116419837409,13.526956910866,18.0670003032481,18.1967425144234,18.2101631632171,17.2385318597556,16.5009992858328,16.5080625412541,16.5490553699964,17.5976672333428,17.6336289062552,17.6382533272628
0.1,17.2385318597556,4.49695062231789e-06,0.000216440683027497,0.0144419604187105,17.6905769673344,18.4415025286155,18.5050506828582,17.2385318597556,13.2856786995999,13.3614932093069,13.6667275711831,17.9861953732126,18.1868543673211,18.2048449976675,17.2385318597556,16.5043729565555,16.5136748194541,16.5759157047482,17.5775212623725,17.6305003788542,17.6364208757032
0.12,17.2385318597556,3.01976000250266e-05,0.00215760659319108,0.141333368668519,17.3124119464919,18.3979745297167,18.4835283430953,17.2385318597556,13.3195886761973,13.4083379234786,13.8320884832735,17.8825757828693,18.1753801488031,18.1987663654622,17.2385318597556,16.507468963982,16.5185565870985,16.6043090864556,17.5501942981034,17.6270162728018,17.6343709776004
0.14,17.2385318597556,8.88538159689651e-05,0.00724249779730461,0.444976977507933,16.752081217081,18.343636202628,18.4567738267378,17.2385318597556,13.3518335464996,13.4557269180706,14.0264409115617,17.7575054305968,18.1637760401364,18.1925427713574,17.2385318597556,16.510765876753,16.5239452793802,16.6409467219608,17.5121830118941,17.6230001593874,17.6323102148001
0.16,17.2385318597556,0.000277391200549907,0.0237290011505404,1.30236860936209,16.0733157903866,18.2802944513001,18.4281960552109,17.2385318597556,13.3868267945504,13.5074761743766,14.2699163925317,17.5922628828323,18.1513213329105,18.1865037015532,17.2385318597556,16.514385088058,16.5302872520515,16.6934908848695,17.4729863894053,17.6192984982654,17.6301894268975
0.18,17.2385318597556,0.000582785148478638,0.0529510314841889,2.54783314644197,15.2583621888992,18.2086838057182,18.3976645376235,17.2385318597556,13.4188791560969,13.5528899795457,14.5332000992432,17.3759744004602,18.1363067663374,18.1794745022621,17.2385318597556,16.5180838824762,16.5368415913081,16.7595785913752,17.4163240032003,17.6148328737811,17.6280152327678
